step,hour,day,timestamp,wind_speed_m_per_s,wind_dir_deg,fire_front_cells,fire_affected_cells,failed_buses,failed_lines,grid_served_mw,customers_connected,customers_disconnected,saidi_minutes,min_bus_vm_pu,mean_bus_vm_pu,pf_converged,fire_burned_cells
43,43.0,1.7916666666666667,2025-01-08T19:00:00,21.891168824543144,225.0,3202.0,141653.0,211.0,324.0,31334.424517663814,6266884.903532763,733115.0964672372,204.9613035996684,0.9836654928732115,1.0117436963202657,1.0,138451
44,44.0,1.8333333333333333,2025-01-08T20:00:00,20.4,225.0,2525.0,146778.0,211.0,324.0,31334.424517663814,6266884.903532763,733115.0964672372,211.24514728367328,0.9836654928732116,1.0117436963202657,1.0,144253
45,45.0,1.875,2025-01-08T21:00:00,18.66349712473815,225.0,2274.0,151261.0,211.0,324.0,31334.424517663814,6266884.903532763,733115.0964672372,217.52899096767817,0.9836654928732117,1.0117436963202657,1.0,148987
46,46.0,1.9166666666666667,2025-01-08T22:00:00,16.799999999999997,225.0,1830.0,154970.0,212.0,325.0,31334.424517663814,6266884.903532763,733115.0964672372,223.81283465168306,0.9836486359956137,1.0116354721057406,1.0,153140
47,47.0,1.9583333333333333,2025-01-08T23:00:00,14.93650287526185,225.0,1287.0,157668.0,212.0,325.0,31334.424517663814,6266884.903532763,733115.0964672372,230.09667833568795,0.9836486359956138,1.0116354721057406,1.0,156381
48,48.0,2.0,2025-01-09T00:00:00,13.2,225.0,778.0,159365.0,212.0,325.0,31334.424517663814,6266884.903532763,733115.0964672372,236.38052201969282,0.9836486359956139,1.0116354721057406,1.0,158587
49,49.0,2.0416666666666665,2025-01-09T01:00:00,11.708831175456856,225.0,410.0,160342.0,212.0,325.0,31334.424517663814,6266884.903532763,733115.0964672372,242.6643657036977,0.983648635995614,1.0116354721057406,1.0,159932
50,50.0,2.0833333333333335,2025-01-09T02:00:00,10.56461709275204,225.0,210.0,160811.0,212.0,325.0,31334.424517663814,6266884.903532763,733115.0964672372,248.9482093877026,0.9836486359956141,1.0116354721057406,1.0,160601
51,51.0,2.125,2025-01-09T03:00:00,9.845334050718705,225.0,142.0,161146.0,212.0,325.0,31334.424517663814,6266884.903532763,733115.0964672372,255.2320530717075,0.9836486359956143,1.0116354721057406,1.0,161004
52,52.0,2.1666666666666665,2025-01-09T04:00:00,9.6,225.0,99.0,161367.0,212.0,325.0,31334.424517663814,6266884.903532763,733115.0964672372,261.5158967557124,0.9836486359956144,1.0116354721057406,1.0,161268
53,53.0,2.2083333333333335,2025-01-09T05:00:00,9.845334050718709,225.0,89.0,161560.0,212.0,325.0,31334.424517663814,6266884.903532763,733115.0964672372,267.79974043971725,0.9836486359956145,1.0116354721057406,1.0,161471
54,54.0,2.25,2025-01-09T06:00:00,10.56461709275204,225.0,77.0,161719.0,212.0,325.0,31334.424517663814,6266884.903532763,733115.0964672372,274.0835841237221,0.9836486359956146,1.0116354721057406,1.0,161642
55,55.0,2.2916666666666665,2025-01-09T07:00:00,11.708831175456858,225.0,82.0,161905.0,212.0,325.0,31334.424517663814,6266884.903532763,733115.0964672372,280.36742780772704,0.9836486359956147,1.0116354721057406,1.0,161823
56,56.0,2.3333333333333335,2025-01-09T08:00:00,13.2,225.0,114.0,162132.0,212.0,325.0,31334.424517663814,6266884.903532763,733115.0964672372,286.6512714917319,0.9836486359956148,1.0116354721057406,1.0,162018
57,57.0,2.375,2025-01-09T09:00:00,14.93650287526185,225.0,140.0,162393.0,213.0,326.0,31331.25724143137,6266251.4482862735,733748.5517137263,292.94054479213526,0.9836486359956099,1.0116313281511513,1.0,162253
58,58.0,2.4166666666666665,2025-01-09T10:00:00,16.799999999999997,225.0,235.0,162862.0,213.0,326.0,31331.25724143137,6266251.4482862735,733748.5517137263,299.2298180925386,0.9836486359956099,1.0116313281511513,1.0,162627
59,59.0,2.4583333333333335,2025-01-09T11:00:00,18.66349712473815,225.0,333.0,163560.0,213.0,326.0,31331.25724143137,6266251.4482862735,733748.5517137263,305.51909139294196,0.9836486359956099,1.0116313281511513,1.0,163227
60,60.0,2.5,2025-01-09T12:00:00,20.4,225.0,404.0,164409.0,213.0,326.0,31331.25724143137,6266251.4482862735,733748.5517137263,311.80836469334537,0.9836486359956099,1.0116313281511513,1.0,164005
61,61.0,2.5416666666666665,2025-01-09T13:00:00,21.891168824543144,225.0,244.0,165055.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,318.10336885581296,0.9836486359956225,1.0116271439491362,1.0,164811
62,62.0,2.5833333333333335,2025-01-09T14:00:00,23.035382907247957,225.0,155.0,165428.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,324.39837301828055,0.9836486359956224,1.0116271439491362,1.0,165273
63,63.0,2.625,2025-01-09T15:00:00,23.75466594928129,225.0,174.0,165764.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,330.6933771807482,0.9836486359956222,1.0116271439491362,1.0,165590
64,64.0,2.6666666666666665,2025-01-09T16:00:00,24.0,225.0,125.0,166035.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,336.9883813432158,0.9836486359956221,1.0116271439491362,1.0,165910
65,65.0,2.7083333333333335,2025-01-09T17:00:00,23.75466594928129,225.0,72.0,166202.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,343.28338550568344,0.983648635995622,1.0116271439491362,1.0,166130
66,66.0,2.75,2025-01-09T18:00:00,23.035382907247957,225.0,38.0,166296.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,349.57838966815103,0.9836486359956219,1.0116271439491362,1.0,166258
67,67.0,2.7916666666666665,2025-01-09T19:00:00,21.891168824543144,225.0,19.0,166343.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,355.8733938306187,0.9836486359956218,1.0116271439491362,1.0,166324
68,68.0,2.8333333333333335,2025-01-09T20:00:00,20.4,225.0,7.0,166365.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,362.1683979930863,0.9836486359956217,1.0116271439491362,1.0,166358
69,69.0,2.875,2025-01-09T21:00:00,18.66349712473815,225.0,3.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,368.46340215555387,0.9836486359956216,1.0116271439491362,1.0,166369
70,70.0,2.9166666666666665,2025-01-09T22:00:00,16.799999999999997,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,374.7584063180215,0.9836486359956215,1.0116271439491362,1.0,166372
71,71.0,2.9583333333333335,2025-01-09T23:00:00,14.93650287526185,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,381.0534104804891,0.9836486359956214,1.0116271439491362,1.0,166372
